Variable,Description,Unit,Semantic data type,Source / domain,Study role,Final-analysis status,Notes,
tmin_c,Annual minimum temperature.,°C,Numeric,"PRISM Climate Group, Oregon State University",Climate candidate,Not retained,Excluded because of temperature redundancy.,
tmean_c,Annual mean temperature.,°C,Numeric,"PRISM Climate Group, Oregon State University",Climate candidate,Not retained,Excluded because of temperature redundancy.,
tmax_c,Annual maximum temperature / mean daily maximum temperature metric used in the study.,°C,Numeric,"PRISM Climate Group, Oregon State University",Climate predictor,Final predictor,Retained as the representative temperature metric.,
tdmean_c,Annual mean dew-point temperature.,°C,Numeric,"PRISM Climate Group, Oregon State University",Climate candidate,Not retained,Excluded because of climate redundancy.,
Total_pop,Total population field from an ACS-derived demographic merge.,persons,Integer,American Community Survey 5-year estimates,Demographic field,Ancillary / not retained,Appears to duplicate total_pop from another merged ACS field; retained here under its raw column name.,
Age20to24_percent,Population aged 20–24 years as a percentage of total population.,%,Numeric,American Community Survey 5-year estimates,Demographic field,Ancillary / not in final candidate set,Not included in the 36-variable prescreening table used for the revised analysis.,
Age25to34_percent,Population aged 25–34 years as a percentage of total population.,%,Numeric,American Community Survey 5-year estimates,Demographic field,Ancillary / not in final candidate set,—,
Age35to44_percent,Population aged 35–44 years as a percentage of total population.,%,Numeric,American Community Survey 5-year estimates,Demographic field,Ancillary / not in final candidate set,—,
Age45to54_percent,Population aged 45–54 years as a percentage of total population.,%,Numeric,American Community Survey 5-year estimates,Demographic field,Ancillary / not in final candidate set,—,
Age55to59_percent,Population aged 55–59 years as a percentage of total population.,%,Numeric,American Community Survey 5-year estimates,Demographic field,Ancillary / not in final candidate set,—,
Age60to64_percent,Population aged 60–64 years as a percentage of total population.,%,Numeric,American Community Survey 5-year estimates,Demographic field,Ancillary / not in final candidate set,—,
Age65to74_percent,Population aged 65–74 years as a percentage of total population.,%,Numeric,American Community Survey 5-year estimates,Demographic field,Ancillary / not in final candidate set,—,
Age75to84_percent,Population aged 75–84 years as a percentage of total population.,%,Numeric,American Community Survey 5-year estimates,Demographic field,Ancillary / not in final candidate set,—,
Age85plus_percent,Population aged 85 years or older as a percentage of total population.,%,Numeric,American Community Survey 5-year estimates,Demographic field,Ancillary / not in final candidate set,—,
Age18plus_percent,Population aged 18 years or older as a percentage of total population.,%,Numeric,American Community Survey 5-year estimates,Demographic field,Ancillary / not in final candidate set,—,
Age21plus_percent,Population aged 21 years or older as a percentage of total population.,%,Numeric,American Community Survey 5-year estimates,Demographic field,Ancillary / not in final candidate set,—,
Age65plus_percent,Population aged 65 years or older as a percentage of total population.,%,Numeric,American Community Survey 5-year estimates,Demographic field,Ancillary / not in final candidate set,—,
LC_Total,Raw total-area field used in land-cover processing.,raw area measure,Numeric,National Land Cover Database processing,Land-cover processing field,Not retained,Study materials screened a total-area variable in km²; the raw LC_Total field is retained for traceability.,
Pop_density,Population density.,persons/km²,Numeric,ACS-derived population / district area,Urbanization predictor,Final predictor,Retained as the representative urbanization metric. Developed_percent was later excluded because of strong correlation with this variable.,
GEO_ID,ACS geographic identifier string for the school district.,—,Text/identifier,American Community Survey 5-year estimates,Identifier,Identifier/linkage,"Typically includes the ACS geography prefix (e.g., 9700000US...).",
Below_poverty_percent,Families below the poverty line as a percentage.,%,Numeric,American Community Survey 5-year estimates,Socioeconomic predictor,Final predictor,Retained as the representative socioeconomic-status metric.,
Bachelor_plus_percent,Population with a bachelor’s degree or higher.,%,Numeric,American Community Survey 5-year estimates,Socioeconomic predictor,Final predictor,Retained as the representative education metric.,
Median_household_income,Median household income.,USD,Numeric,American Community Survey 5-year estimates,Socioeconomic field,Ancillary / not in final candidate set,Present in the full dataset but not included in the 36-variable prescreening table used for the revised analysis.,
NAME,ACS geographic name for the school district.,—,Text,American Community Survey 5-year estimates,Identifier,Identifier/linkage,Human-readable ACS geography label.,
total_pop,Total population.,persons,Integer,American Community Survey 5-year estimates,Demographic candidate,Not retained,Total population was not retained because it reflects population size rather than composition.,
male_percent,Male population as a percentage of total population.,%,Numeric,American Community Survey 5-year estimates,Demographic candidate,Not retained,Excluded because of sex-composition redundancy.,
female_percent,Female population as a percentage of total population.,%,Numeric,American Community Survey 5-year estimates,Demographic candidate,Not retained,Excluded because of sex-composition redundancy.,
median_age,Median age of the district population.,years,Numeric,American Community Survey 5-year estimates,Demographic predictor,Final predictor,Retained as a representative age-structure metric.,
under5_percent,Population under age 5.,%,Numeric,American Community Survey 5-year estimates,Demographic predictor,Final predictor,Retained as a representative age-group metric.,
age5to9_percent,Population aged 5–9 years.,%,Numeric,American Community Survey 5-year estimates,Demographic predictor component,Used to derive final predictor,Combined with age10to14_percent to derive age5to14_percent.,
age10to14_percent,Population aged 10–14 years.,%,Numeric,American Community Survey 5-year estimates,Demographic predictor component,Used to derive final predictor,Combined with age5to9_percent to derive age5to14_percent.,
age15to19_percent,Population aged 15–19 years.,%,Numeric,American Community Survey 5-year estimates,Demographic predictor,Final predictor,Retained as a representative age-group metric.,
white_percent,White population.,%,Numeric,American Community Survey 5-year estimates,Race/ethnicity candidate,Not retained,Excluded because of race/ethnicity redundancy.,
black_percent,Black or African American population.,%,Numeric,American Community Survey 5-year estimates,Race/ethnicity candidate,Not retained,Not retained in domain-informed prescreening.,
asian_percent,Asian population.,%,Numeric,American Community Survey 5-year estimates,Race/ethnicity predictor,Final predictor,Retained as the representative racial-composition metric.,
hispanic_percent,Hispanic or Latino population.,%,Numeric,American Community Survey 5-year estimates,Race/ethnicity predictor,Final predictor,Retained as the representative ethnicity metric.,
non_hispanic_percent,Non-Hispanic population.,%,Numeric,American Community Survey 5-year estimates,Race/ethnicity candidate,Not retained,Excluded because of ethnicity redundancy.,
Water_percent,District area classified as water.,% of district area,Numeric,National Land Cover Database (NLCD),Land-cover candidate,Not retained,Not retained in domain-informed prescreening.,
Developed_percent,District area classified as developed land.,% of district area,Numeric,National Land Cover Database (NLCD),Land-cover candidate,Excluded after correlation screening,"Retained through prescreening, then excluded because it was strongly correlated with Pop_density (r = 0.83).",
Barren_percent,District area classified as barren land.,% of district area,Numeric,National Land Cover Database (NLCD),Land-cover candidate,Not retained,Not retained in domain-informed prescreening.,
Forest_percent,District area classified as forest.,% of district area,Numeric,National Land Cover Database (NLCD),Land-cover predictor,Final predictor,Retained as the representative land-cover metric.,
Shrub_percent,District area classified as shrubland.,% of district area,Numeric,National Land Cover Database (NLCD),Land-cover candidate,Not retained,Excluded because of land-cover redundancy.,
Grass_percent,District area classified as grassland/herbaceous cover.,% of district area,Numeric,National Land Cover Database (NLCD),Land-cover candidate,Not retained,Excluded because of land-cover redundancy.,
Pasture_crops_percent,District area classified as pasture and cropland.,% of district area,Numeric,National Land Cover Database (NLCD),Land-cover candidate,Not retained,Not retained in domain-informed prescreening.,
Wetland_percent,District area classified as wetlands.,% of district area,Numeric,National Land Cover Database (NLCD),Land-cover candidate,Not retained,Not retained in domain-informed prescreening.,
Autism_prev1000,District-level identified ASD prevalence derived from raw counts.,per 1,000 students,Numeric,Derived from NYSED fields,Outcome,Derived final analysis field (not present in uploaded raw CSV),Autism / Total Students × 1000; revised analysis used complete cases and 109 derived outcome values were missing before complete-case selection.
age5to14_percent,Population aged 5–14 years.,%,Numeric,Derived from ACS 5-year estimates,Demographic predictor,Derived final predictor (not present in uploaded raw CSV),age5to9_percent + age10to14_percent.,
